chr	start	end	true_admixture
HanXRQChr01	0	1000000	0.118
HanXRQChr01	1000000	2000000	0.272794117647059
HanXRQChr01	2000000	3000000	0.669105691056911
HanXRQChr01	3000000	4000000	0.58
HanXRQChr01	4000000	5000000	0.621
HanXRQChr01	5000000	6000000	0.911363636363636
HanXRQChr01	6000000	7000000	0.576623376623375
HanXRQChr01	7000000	8000000	0.821323529411764
HanXRQChr01	8000000	9000000	1
HanXRQChr01	9000000	10000000	1
HanXRQChr01	10000000	11000000	0.653488372093029
HanXRQChr01	11000000	12000000	0.382857142857144
HanXRQChr01	12000000	13000000	0.476666666666665
HanXRQChr01	13000000	14000000	0.569565217391305
HanXRQChr01	14000000	15000000	0.719444444444445
HanXRQChr01	15000000	16000000	0.285714285714284
HanXRQChr01	16000000	17000000	1
HanXRQChr01	17000000	18000000	1
HanXRQChr01	18000000	19000000	1
HanXRQChr01	19000000	20000000	1
HanXRQChr01	20000000	21000000	1
HanXRQChr01	21000000	22000000	0.999999999999999
HanXRQChr01	22000000	23000000	1
HanXRQChr01	23000000	24000000	0.999999999999999
HanXRQChr01	24000000	25000000	1
HanXRQChr01	25000000	26000000	1
HanXRQChr01	26000000	27000000	0.999999999999999
HanXRQChr01	27000000	28000000	0.999999999999999
HanXRQChr01	28000000	29000000	1
HanXRQChr01	29000000	30000000	0.999999999999998
HanXRQChr01	30000000	31000000	1
HanXRQChr01	31000000	32000000	1
HanXRQChr01	32000000	33000000	0.72916666666666
HanXRQChr01	33000000	34000000	0.5
HanXRQChr01	34000000	35000000	0.943396226415048
HanXRQChr01	35000000	36000000	1
HanXRQChr01	36000000	37000000	1
HanXRQChr01	37000000	38000000	1
HanXRQChr01	38000000	39000000	1
HanXRQChr01	39000000	40000000	1
HanXRQChr01	40000000	41000000	0.999999999999999
HanXRQChr01	41000000	42000000	1
HanXRQChr01	42000000	43000000	1
HanXRQChr01	43000000	44000000	1
HanXRQChr01	44000000	45000000	1
HanXRQChr01	45000000	46000000	1
HanXRQChr01	46000000	47000000	1
HanXRQChr01	47000000	48000000	0.999999999999997
HanXRQChr01	48000000	49000000	1
HanXRQChr01	49000000	50000000	1
HanXRQChr01	50000000	51000000	1
HanXRQChr01	51000000	52000000	1
HanXRQChr01	52000000	53000000	0.999999999999999
HanXRQChr01	53000000	54000000	0.999999999999999
HanXRQChr01	54000000	55000000	1
HanXRQChr01	55000000	56000000	0.999999999999999
HanXRQChr01	56000000	57000000	1
HanXRQChr01	57000000	58000000	1
HanXRQChr01	58000000	59000000	1
HanXRQChr01	59000000	60000000	0.975757575757573
HanXRQChr01	60000000	61000000	0.999999999999999
HanXRQChr01	61000000	62000000	0.27297297297297
HanXRQChr01	62000000	63000000	0
HanXRQChr01	63000000	64000000	0
HanXRQChr01	64000000	65000000	0
HanXRQChr01	65000000	66000000	0.182608695652174
HanXRQChr01	66000000	67000000	0.883673469387751
HanXRQChr01	67000000	68000000	0.57647058823529
HanXRQChr01	68000000	69000000	0.571153846153851
HanXRQChr01	69000000	70000000	0.187037037037036
HanXRQChr01	70000000	71000000	0.508928571428573
HanXRQChr01	71000000	72000000	0
HanXRQChr01	72000000	73000000	0
HanXRQChr01	73000000	74000000	0
HanXRQChr01	74000000	75000000	0
HanXRQChr01	75000000	76000000	0.0677966101694961
HanXRQChr01	76000000	77000000	0
HanXRQChr01	77000000	78000000	0
HanXRQChr01	78000000	79000000	0
HanXRQChr01	79000000	80000000	0.160714285714286
HanXRQChr01	80000000	81000000	0.355555555555557
HanXRQChr01	81000000	82000000	0.122641509433964
HanXRQChr01	82000000	83000000	0
HanXRQChr01	83000000	84000000	0
HanXRQChr01	84000000	85000000	0
HanXRQChr01	85000000	86000000	0
HanXRQChr01	86000000	87000000	0
HanXRQChr01	87000000	88000000	0
HanXRQChr01	88000000	89000000	0.17714285714286
HanXRQChr01	89000000	90000000	0.343750000000009
HanXRQChr01	90000000	91000000	0.987931034482757
HanXRQChr01	91000000	92000000	0.999999999999998
HanXRQChr01	92000000	93000000	1
HanXRQChr01	93000000	94000000	0.00476190476189373
HanXRQChr01	94000000	95000000	0
HanXRQChr01	95000000	96000000	0
HanXRQChr01	96000000	97000000	0
HanXRQChr01	97000000	98000000	0.238461538461551
HanXRQChr01	98000000	99000000	1
HanXRQChr01	99000000	100000000	1
HanXRQChr01	100000000	101000000	1
HanXRQChr01	101000000	102000000	1
HanXRQChr01	102000000	103000000	1
HanXRQChr01	103000000	104000000	1
HanXRQChr01	104000000	105000000	1
HanXRQChr01	105000000	106000000	1
HanXRQChr01	106000000	107000000	1
HanXRQChr01	107000000	108000000	0.999999999999999
HanXRQChr01	108000000	109000000	1
HanXRQChr01	109000000	110000000	0.999999999999999
HanXRQChr01	110000000	111000000	1
HanXRQChr01	111000000	112000000	1
HanXRQChr01	112000000	113000000	0.999999999999999
HanXRQChr01	113000000	114000000	1
HanXRQChr01	114000000	115000000	1
HanXRQChr01	115000000	116000000	1
HanXRQChr01	116000000	117000000	0.657142857142843
HanXRQChr01	117000000	118000000	0.590624999999989
HanXRQChr01	118000000	119000000	0.302631578947384
HanXRQChr01	119000000	120000000	0.731818181818191
HanXRQChr01	120000000	121000000	0.316666666666666
HanXRQChr01	121000000	122000000	0.031034482758622
HanXRQChr01	122000000	123000000	0.696774193548402
HanXRQChr01	123000000	124000000	0.130555555555567
HanXRQChr01	124000000	125000000	0
HanXRQChr01	125000000	126000000	0.613636363636364
HanXRQChr01	126000000	127000000	0.947959183673467
HanXRQChr01	127000000	128000000	0.393396226415095
HanXRQChr01	128000000	129000000	0.501694915254234
HanXRQChr01	129000000	130000000	0.353906249999996
HanXRQChr01	130000000	131000000	0.340000000000001
HanXRQChr01	131000000	132000000	1
HanXRQChr01	132000000	133000000	1
HanXRQChr01	133000000	134000000	0.801123595505618
