sample	chrom	start	end	maxP	lowP	highP	width	status
1	HanXRQChr01	0	1000000	0	0	0.03	0.03	P1
1	HanXRQChr01	1000000	2000000	0	0	0.01	0.01	P1
1	HanXRQChr01	2000000	3000000	0	0	0.01	0.01	P1
1	HanXRQChr01	3000000	4000000	0	0	0.01	0.01	P1
1	HanXRQChr01	4000000	5000000	0.31	0.22	0.41	0.19	P1
1	HanXRQChr01	5000000	6000000	0.44	0.37	0.52	0.15	admixed
1	HanXRQChr01	6000000	7000000	0.47	0.4	0.55	0.15	admixed
1	HanXRQChr01	7000000	8000000	0.55	0.46	0.63	0.17	admixed
1	HanXRQChr01	8000000	9000000	0.47	0.4	0.54	0.14	admixed
1	HanXRQChr01	9000000	10000000	0.42	0.35	0.48	0.13	P1
1	HanXRQChr01	10000000	11000000	0.45	0.32	0.58	0.26	admixed
1	HanXRQChr01	11000000	12000000	0.53	0.45	0.61	0.16	admixed
1	HanXRQChr01	12000000	13000000	0.52	0.45	0.59	0.14	admixed
1	HanXRQChr01	13000000	14000000	0.45	0.4	0.51	0.11	admixed
1	HanXRQChr01	14000000	15000000	0.45	0.38	0.52	0.14	admixed
1	HanXRQChr01	15000000	16000000	0.45	0.37	0.53	0.16	admixed
1	HanXRQChr01	16000000	17000000	0.52	0.46	0.58	0.12	admixed
1	HanXRQChr01	17000000	18000000	0.52	0.45	0.6	0.15	admixed
1	HanXRQChr01	18000000	19000000	0.47	0.4	0.55	0.15	admixed
1	HanXRQChr01	19000000	20000000	0.47	0.38	0.57	0.19	admixed
1	HanXRQChr01	20000000	21000000	0.56	0.42	0.69	0.27	admixed
1	HanXRQChr01	21000000	22000000	0.55	0.47	0.63	0.16	admixed
1	HanXRQChr01	22000000	23000000	0.53	0.46	0.59	0.13	admixed
1	HanXRQChr01	23000000	24000000	0.5	0.39	0.6	0.21	admixed
1	HanXRQChr01	24000000	25000000	0.45	0.35	0.55	0.2	admixed
1	HanXRQChr01	26000000	27000000	0.65	0.3	0.98	0.68	NA
1	HanXRQChr01	27000000	28000000	0.49	0.4	0.58	0.18	admixed
1	HanXRQChr01	29000000	30000000	0.49	0.37	0.61	0.24	admixed
1	HanXRQChr01	30000000	31000000	0.5	0.38	0.61	0.23	admixed
1	HanXRQChr01	31000000	32000000	0.55	0.41	0.69	0.28	admixed
1	HanXRQChr01	32000000	33000000	0.5	0.31	0.68	0.37	admixed
1	HanXRQChr01	34000000	35000000	0.45	0.37	0.53	0.16	admixed
1	HanXRQChr01	35000000	36000000	0.48	0.35	0.62	0.27	admixed
1	HanXRQChr01	36000000	37000000	0.48	0.4	0.57	0.17	admixed
1	HanXRQChr01	37000000	38000000	0.49	0.39	0.6	0.21	admixed
1	HanXRQChr01	38000000	39000000	0.48	0.44	0.51	0.07	admixed
1	HanXRQChr01	39000000	40000000	0.51	0.44	0.57	0.13	admixed
1	HanXRQChr01	40000000	41000000	0.46	0.36	0.57	0.21	admixed
1	HanXRQChr01	41000000	42000000	0.46	0.35	0.56	0.21	admixed
1	HanXRQChr01	42000000	43000000	0.48	0.41	0.55	0.14	admixed
1	HanXRQChr01	43000000	44000000	0.5	0.37	0.62	0.25	admixed
1	HanXRQChr01	44000000	45000000	0.51	0.46	0.56	0.0999999999999999	admixed
1	HanXRQChr01	45000000	46000000	0.45	0.37	0.53	0.16	admixed
1	HanXRQChr01	46000000	47000000	0.46	0.38	0.54	0.16	admixed
1	HanXRQChr01	47000000	48000000	0.52	0.46	0.57	0.11	admixed
1	HanXRQChr01	48000000	49000000	0.52	0.44	0.6	0.16	admixed
1	HanXRQChr01	49000000	50000000	0.49	0.3	0.69	0.39	admixed
1	HanXRQChr01	50000000	51000000	0.43	0.28	0.59	0.31	admixed
1	HanXRQChr01	51000000	52000000	0.49	0.42	0.56	0.14	admixed
1	HanXRQChr01	52000000	53000000	0.54	0.44	0.65	0.21	admixed
1	HanXRQChr01	53000000	54000000	0.48	0.39	0.57	0.18	admixed
1	HanXRQChr01	54000000	55000000	0.48	0.42	0.54	0.12	admixed
1	HanXRQChr01	55000000	56000000	0.53	0.45	0.6	0.15	admixed
1	HanXRQChr01	56000000	57000000	0.47	0.41	0.52	0.11	admixed
1	HanXRQChr01	57000000	58000000	0.44	0.37	0.51	0.14	admixed
1	HanXRQChr01	58000000	59000000	0.49	0.42	0.57	0.15	admixed
1	HanXRQChr01	59000000	60000000	0.51	0.4	0.63	0.23	admixed
1	HanXRQChr01	60000000	61000000	0.46	0.36	0.57	0.21	admixed
1	HanXRQChr01	61000000	62000000	0.39	0.27	0.51	0.24	admixed
1	HanXRQChr01	62000000	63000000	0.46	0.39	0.53	0.14	admixed
1	HanXRQChr01	63000000	64000000	0.44	0.36	0.52	0.16	admixed
1	HanXRQChr01	64000000	65000000	0.4	0.34	0.47	0.13	P1
1	HanXRQChr01	65000000	66000000	0.43	0.35	0.52	0.17	admixed
1	HanXRQChr01	66000000	67000000	0.49	0.41	0.57	0.16	admixed
1	HanXRQChr01	67000000	68000000	0.52	0.41	0.62	0.21	admixed
1	HanXRQChr01	68000000	69000000	0.39	0.17	0.63	0.46	admixed
1	HanXRQChr01	69000000	70000000	0.44	0.39	0.49	0.1	P1
1	HanXRQChr01	70000000	71000000	0.46	0.41	0.52	0.11	admixed
1	HanXRQChr01	71000000	72000000	0.44	0.37	0.5	0.13	admixed
1	HanXRQChr01	72000000	73000000	0.46	0.4	0.51	0.11	admixed
1	HanXRQChr01	73000000	74000000	1	0.95	1	0.05	P2
1	HanXRQChr01	74000000	75000000	0.96	0.92	0.99	0.07	P2
1	HanXRQChr01	75000000	76000000	1	0.99	1	0.01	P2
1	HanXRQChr01	76000000	77000000	0.95	0.89	0.99	0.1	P2
1	HanXRQChr01	77000000	78000000	1	0.97	1	0.03	P2
