sample	chr	window	ancestry
1	chr1	1	0.7
1	chr1	2	0.3
1	chr1	3	0
1	chr1	4	0.4
1	chr1	5	0.4
1	chr1	6	0.2
1	chr1	7	0.4
1	chr1	8	0.1
1	chr1	9	0.6
1	chr1	10	0.3
1	chr1	11	0.3
1	chr1	12	1
1	chr1	13	0.2
1	chr1	14	1
1	chr1	15	0.6
1	chr1	16	0
1	chr1	17	0.3
1	chr1	18	0.1
1	chr1	19	0.9
1	chr1	20	0
1	chr1	21	0.1
1	chr1	22	0.6
1	chr1	23	1
1	chr1	24	0.7
1	chr1	25	0.2
1	chr1	26	0
1	chr1	27	0.1
1	chr1	28	0.7
1	chr1	29	0.7
1	chr1	30	0.6
1	chr1	31	0.4
1	chr1	32	0.3
1	chr1	33	0.8
1	chr1	34	0.6
1	chr1	35	0
1	chr1	36	0
1	chr1	37	0.4
1	chr1	38	0.4
1	chr1	39	0.6
1	chr1	40	0.4
1	chr1	41	0.7
1	chr1	42	0
1	chr1	43	0.6
1	chr1	44	0.4
1	chr1	45	0
1	chr1	46	0.8
1	chr1	47	0.6
1	chr1	48	0.2
1	chr1	49	0
1	chr1	50	0.1
1	chr1	51	0.3
1	chr1	52	0.2
1	chr1	53	0.2
1	chr1	54	0.1
1	chr1	55	0
1	chr1	56	0
1	chr1	57	0.5
1	chr1	58	0.3
1	chr1	59	0.4
1	chr1	60	0.3
1	chr1	61	0.2
1	chr1	62	0.4
1	chr1	63	0
1	chr1	64	0.8
1	chr1	65	0.2
1	chr1	66	0.4
1	chr1	67	0.6
1	chr1	68	0.8
1	chr1	69	0.2
1	chr1	70	0.6
1	chr1	71	1
1	chr1	72	1
1	chr1	73	0.7
1	chr1	74	1
1	chr1	75	0.4
1	chr1	76	0
1	chr1	77	0.2
1	chr1	78	0
1	chr1	79	0.2
1	chr1	80	0
1	chr1	81	0.1
1	chr1	82	0.2
1	chr1	83	0.8
1	chr1	84	0.3
1	chr1	85	0
1	chr1	86	0.4
1	chr1	87	0.2
1	chr1	88	0.1
1	chr1	89	0.7
1	chr1	90	0.4
1	chr1	91	0.5
1	chr1	92	0.9
1	chr1	93	0.6
1	chr1	94	0.4
1	chr1	95	0.4
1	chr1	96	0
1	chr1	97	1
1	chr1	98	0.5
1	chr1	99	1
1	chr1	100	1
1	chr1	101	0.1
1	chr1	102	0.2
1	chr1	103	0.2
1	chr1	104	0.6
1	chr1	105	0.9
1	chr1	106	0.4
1	chr1	107	1
1	chr1	108	1
1	chr1	109	1
1	chr1	110	0.8
1	chr1	111	1
1	chr1	112	1
1	chr1	113	0.6
1	chr1	114	0.6
1	chr1	115	0.9
1	chr1	116	1
1	chr1	117	0.8
1	chr1	118	0.8
1	chr1	119	0.4
1	chr1	120	0.4
1	chr1	121	0.2
1	chr1	122	0.2
1	chr1	123	0.4
1	chr1	124	0.1
1	chr1	125	0
